Date/Time,Year,Month,Day,Time,Temp (°C),Weather
2016-07-11 19:00,2016,7,11,19:00,18.1,Mostly Cloudy
2016-07-11 22:00,2016,7,11,22:00,16.6,Cloudy
2016-07-11 23:00,2016,7,11,23:00,16.0,Rain
2016-07-12 01:00,2016,7,12,01:00,15.9,Rain Showers
2016-07-12 04:00,2016,7,12,04:00,15.4,Cloudy
2016-07-12 06:00,2016,7,12,06:00,15.5,Rain
2016-07-12 07:00,2016,7,12,07:00,15.7,Rain
2016-07-12 08:00,2016,7,12,08:00,15.8,Rain
2016-07-12 09:00,2016,7,12,09:00,16.6,Rain
2016-07-12 10:00,2016,7,12,10:00,17.4,Cloudy
2016-07-12 13:00,2016,7,12,13:00,20.2,Cloudy
2016-07-12 16:00,2016,7,12,16:00,20.7,Mostly Cloudy
2016-07-12 19:00,2016,7,12,19:00,19.5,Mostly Cloudy
2016-07-12 22:00,2016,7,12,22:00,17.9,Cloudy
2016-07-13 00:00,2016,7,13,00:00,17.0,Rain Showers
2016-07-13 01:00,2016,7,13,01:00,16.5,Rain Showers
2016-07-13 02:00,2016,7,13,02:00,15.6,Rain Showers
2016-07-13 03:00,2016,7,13,03:00,15.6,Rain Showers
2016-07-13 04:00,2016,7,13,04:00,15.1,Rain Showers
2016-07-13 07:00,2016,7,13,07:00,16.0,Cloudy
2016-07-13 10:00,2016,7,13,10:00,17.6,Mostly Cloudy
2016-07-13 13:00,2016,7,13,13:00,19.6,Mainly Clear
2016-07-13 16:00,2016,7,13,16:00,20.0,Mainly Clear
2016-07-13 19:00,2016,7,13,19:00,19.0,Clear
2016-07-13 22:00,2016,7,13,22:00,17.0,Clear
2016-07-14 01:00,2016,7,14,01:00,14.1,Clear
2016-07-14 04:00,2016,7,14,04:00,14.8,Mainly Clear
2016-07-14 07:00,2016,7,14,07:00,16.8,Cloudy
2016-07-14 10:00,2016,7,14,10:00,19.4,Mostly Cloudy
2016-07-14 13:00,2016,7,14,13:00,20.2,Mostly Cloudy
2016-07-14 16:00,2016,7,14,16:00,17.4,Rain
2016-07-14 19:00,2016,7,14,19:00,17.5,Mainly Clear
2016-07-14 22:00,2016,7,14,22:00,14.6,Mainly Clear
